id,coastal_container_traffic_master_id,period,state_board_id,port_board_id,traffic_data,status,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
56,4,2018,3,28,0.000,Approved,2018-12-13 16:31:03,70,,2018-12-13 15:51:31,
57,1,2019,3,29,0.000,Approved,2019-01-25 12:39:55,120,,2019-01-18 16:18:20,
58,2,2019,3,29,0.000,Approved,2019-01-25 12:39:55,120,,2019-01-18 16:18:20,
59,3,2019,3,29,0.000,Approved,2019-01-25 12:39:55,120,,2019-01-18 16:18:20,
60,4,2019,3,29,0.000,Approved,2019-01-25 12:39:55,120,,2019-01-18 16:18:20,
61,1,2019,9,50,0.000,Approved,2019-09-04 13:21:29,113,,2019-09-04 13:02:17,
62,2,2019,9,50,0.000,Approved,2019-09-04 13:21:29,113,,2019-09-04 13:02:17,
63,3,2019,9,50,0.000,Approved,2019-09-04 13:21:29,113,,2019-09-04 13:02:17,
64,4,2019,9,50,0.000,Approved,2019-09-04 13:21:29,113,,2019-09-04 13:02:17,
65,1,2020,9,50,0.000,Approved,2020-05-04 12:07:15,113,,2020-05-04 12:02:35,
66,2,2020,9,50,0.000,Approved,2020-05-04 12:07:15,113,,2020-05-04 12:02:35,
67,3,2020,9,50,0.000,Approved,2020-05-04 12:07:15,113,,2020-05-04 12:02:35,
68,4,2020,9,50,0.000,Approved,2020-05-04 12:07:15,113,,2020-05-04 12:02:35,
69,1,2020,3,28,0.000,Approved,2020-05-08 11:16:33,70,,2020-05-06 12:43:04,
70,2,2020,3,28,0.000,Approved,2020-05-08 11:16:33,70,,2020-05-06 12:43:04,
71,3,2020,3,28,0.000,Approved,2020-05-08 11:16:33,70,,2020-05-06 12:43:04,
72,4,2020,3,28,0.000,Approved,2020-05-08 11:16:33,70,,2020-05-06 12:43:04,
73,1,2019,9,48,0.000,Approved,2020-07-10 16:02:50,112,,2020-07-10 15:52:35,
74,2,2019,9,48,0.000,Approved,2020-07-10 16:02:50,112,,2020-07-10 15:52:35,
75,3,2019,9,48,0.000,Approved,2020-07-10 16:02:50,112,,2020-07-10 15:52:35,
76,4,2019,9,48,0.000,Approved,2020-07-10 16:02:50,112,,2020-07-10 15:52:35,
77,1,2020,3,29,0.000,Approved,2020-07-16 11:09:21,120,,2020-07-16 10:56:05,
78,2,2020,3,29,0.000,Approved,2020-07-16 11:09:21,120,,2020-07-16 10:56:05,
79,3,2020,3,29,0.000,Approved,2020-07-16 11:09:21,120,,2020-07-16 10:56:05,
80,4,2020,3,29,0.000,Approved,2020-07-16 11:09:21,120,,2020-07-16 10:56:05,
81,1,2021,3,29,0.000,Approved,2021-04-09 13:37:02,120,,2021-04-09 13:27:04,
82,2,2021,3,29,0.000,Approved,2021-04-09 13:37:02,120,,2021-04-09 13:27:04,
83,3,2021,3,29,0.000,Approved,2021-04-09 13:37:02,120,,2021-04-09 13:27:04,
84,4,2021,3,29,0.000,Approved,2021-04-09 13:37:02,120,,2021-04-09 13:27:04,
