id,month_year,state_board_id,port_board_id,commodities_group_wise_id,ov_ul_if,ov_ul_ff,ov_l_if,ov_l_ff,ov_total,co_ul_if,co_ul_ff,co_l_if,co_l_ff,co_total,grand_total,status,approved_on,created_on,modified_on,created_by_user_id,updated_by_user_id,data_updated_no_of_times,last_data_updated_on,last_data_updated_by_user_id
27,2016-06-01 00:00:00,10,33,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
28,2016-06-01 00:00:00,10,33,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
29,2016-06-01 00:00:00,10,33,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
30,2016-06-01 00:00:00,10,33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
31,2016-06-01 00:00:00,10,33,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
32,2016-06-01 00:00:00,10,33,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
33,2016-06-01 00:00:00,10,33,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
34,2016-06-01 00:00:00,10,33,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
35,2016-06-01 00:00:00,10,33,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
36,2016-06-01 00:00:00,10,33,12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 12:14:35,2017-05-05 16:49:56,2017-12-18 12:14:35,52,56,0,,
37,2016-11-01 00:00:00,10,33,1,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
38,2016-11-01 00:00:00,10,33,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
39,2016-11-01 00:00:00,10,33,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
40,2016-11-01 00:00:00,10,33,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
41,2016-11-01 00:00:00,10,33,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
42,2016-11-01 00:00:00,10,33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
43,2016-11-01 00:00:00,10,33,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
44,2016-11-01 00:00:00,10,33,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
45,2016-11-01 00:00:00,10,33,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
46,2016-11-01 00:00:00,10,33,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
47,2016-11-01 00:00:00,10,33,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
